Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,Lag_1,Lag_2,Lag_4,Rolling_Mean_4,Rolling_Std_4
11,2010-02-05,1528008.64,0,46.04,2.572,214.4248812,7.368,2010,2,5,477409.3,1469252.05,1643690.9,1402453.465,686238.0757207843
36,2010-02-05,467546.74,0,45.97,2.545,209.8529663,8.554,2010,2,5,1528008.64,477409.3,2135143.87,985554.1825,592948.3950513727
42,2010-02-05,543384.01,0,54.34,2.962,126.4420645,9.765,2010,2,5,467546.74,1528008.64,1469252.05,754087.1724999999,517044.9126633867
5,2010-02-05,317173.1,0,39.7,2.572,211.6539716,6.566,2010,2,5,543384.01,467546.74,477409.3,714028.1224999999,550736.0761753513
43,2010-02-05,647029.28,0,47.31,2.572,203.0642742,9.521,2010,2,5,317173.1,543384.01,1528008.64,493783.2825,138833.33010404534
28,2010-02-05,1672352.29,0,49.47,2.962,126.4420645,13.975,2010,2,5,647029.28,317173.1,467546.74,794984.6699999999,600908.0702272789
6,2010-02-05,1652635.1,0,40.43,2.572,212.6223518,7.259,2010,2,5,1672352.29,647029.28,543384.01,1072297.4425000001,694723.7818953707
33,2010-02-05,274593.43,0,58.4,2.962,126.4420645,10.115,2010,2,5,1652635.1,1672352.29,317173.1,1061652.5250000001,710302.5320808112
44,2010-02-05,281090.95,0,31.53,2.666,126.4420645,8.119,2010,2,5,274593.43,1652635.1,647029.28,970167.9425,799473.8442610425
18,2010-02-05,1205307.5,0,21.33,2.788,131.5279032,9.202,2010,2,5,281090.95,274593.43,1672352.29,853406.745,689243.6259246672
3,2010-02-05,461622.22,0,45.71,2.572,214.4248812,7.368,2010,2,5,1205307.5,281090.95,1652635.1,555653.5249999999,441690.52444192313
12,2010-02-05,1100046.37,0,49.47,2.962,126.4420645,13.975,2010,2,5,461622.22,1205307.5,274593.43,762016.76,459092.29710827855
29,2010-02-05,538634.46,0,24.36,2.788,131.5279032,10.064,2010,2,5,1100046.37,461622.22,281090.95,826402.6375,380493.12921340275
40,2010-02-05,1001943.8,0,14.48,2.788,131.5279032,5.892,2010,2,5,538634.46,1100046.37,1205307.5,775561.7124999999,322092.98368747835
7,2010-02-05,496725.44,0,10.53,2.58,189.3816974,9.014,2010,2,5,1001943.8,538634.46,461622.22,784337.5175000001,310974.42194873584
14,2010-02-05,2623469.95,0,27.31,2.784,181.8711898,8.992,2010,2,5,496725.44,1001943.8,1100046.37,1165193.4125,998773.6558768039
41,2010-02-05,1086533.18,0,30.27,2.58,189.3816974,7.541,2010,2,5,2623469.95,496725.44,538634.46,1302168.0925,918551.3062054466
27,2010-02-05,1874289.79,0,27.19,2.954,135.3524608,8.237,2010,2,5,1086533.18,2623469.95,1001943.8,1520254.59,927029.5277158262
35,2010-02-05,1230613.5,0,27.19,2.784,135.3524608,9.262,2010,2,5,1874289.79,1086533.18,496725.44,1703726.605,702325.5073290702
45,2010-02-05,890689.51,0,27.31,2.784,181.8711898,8.992,2010,2,5,1230613.5,1874289.79,2623469.95,1270531.495,425931.46498691896
20,2010-02-05,2401395.47,0,25.92,2.784,204.2471935,8.187,2010,2,5,890689.51,1230613.5,1086533.18,1599247.0675000001,672566.0012746357
37,2010-02-05,536006.73,0,45.97,2.572,209.8529663,8.554,2010,2,5,2401395.47,890689.51,1874289.79,1264676.3025000002,809138.6793226118
17,2010-02-05,789036.02,0,23.11,2.666,126.4420645,6.548,2010,2,5,536006.73,2401395.47,1230613.5,1154281.9325,844677.836661126
30,2010-02-05,465108.52,0,39.05,2.572,210.7526053,8.324,2010,2,5,789036.02,536006.73,890689.51,1047886.685,912987.9838155394
25,2010-02-05,677231.63,0,21.1,2.784,204.2471935,8.187,2010,2,5,465108.52,789036.02,2401395.47,616845.725,144746.99502773886
22,2010-02-05,1033017.37,0,24.36,2.788,135.3524608,8.283,2010,2,5,677231.63,465108.52,536006.73,741098.385,236476.97465769917
23,2010-02-05,1364721.58,0,15.25,2.788,131.5279032,5.892,2010,2,5,1033017.37,677231.63,789036.02,885019.775,396450.2848715758
24,2010-02-05,1388725.63,0,22.43,2.954,131.5279032,8.326,2010,2,5,1364721.58,1033017.37,465108.52,1115924.0525,334487.40381798067
19,2010-02-05,1507637.17,0,20.96,2.954,131.5279032,8.35,2010,2,5,1388725.63,1364721.58,677231.63,1323525.4375,203502.87023828115
21,2010-02-05,798593.88,0,39.05,2.572,210.7526053,8.324,2010,2,5,1507637.17,1388725.63,1033017.37,1264919.565,317101.3845215766
10,2010-02-05,2193048.75,0,54.34,2.962,126.4420645,9.765,2010,2,5,798593.88,1507637.17,1364721.58,1472001.3575,572011.5764875025
2,2010-02-05,2136989.46,0,40.19,2.572,210.7526053,8.324,2010,2,5,2193048.75,798593.88,1388725.63,1659067.315,652403.5997145436
39,2010-02-05,1230596.8,0,44.3,2.572,209.8529663,8.554,2010,2,5,2136989.46,2193048.75,1507637.17,1589807.2225,687594.7019668618
8,2010-02-05,1004137.09,0,34.14,2.572,214.4714512,6.299,2010,2,5,1230596.8,2136989.46,798593.88,1641193.025,612314.8347261024
32,2010-02-05,1087616.19,0,34.43,2.58,189.3816974,9.014,2010,2,5,1004137.09,1230596.8,2193048.75,1364834.885,523193.9268675513
15,2010-02-05,652122.44,0,19.83,2.954,131.5279032,8.35,2010,2,5,1087616.19,1004137.09,2136989.46,993618.13,246119.53743848004
34,2010-02-05,956228.96,0,35.44,2.598,126.4420645,9.521,2010,2,5,652122.44,1087616.19,1230596.8,925026.1699999999,189863.20708916362
13,2010-02-05,1967220.53,0,31.53,2.666,126.4420645,8.316,2010,2,5,956228.96,652122.44,1004137.09,1165797.03,564556.5311140395
38,2010-02-05,358496.14,0,49.47,2.962,126.4420645,13.975,2010,2,5,1967220.53,956228.96,1087616.19,983517.0175,699735.8315569856
9,2010-02-05,549505.55,0,38.01,2.572,214.6554591,6.415,2010,2,5,358496.14,1967220.53,652122.44,957862.795,717588.9569224201
26,2010-02-05,1034119.21,0,9.55,2.788,131.5279032,8.488,2010,2,5,549505.55,358496.14,956228.96,977335.3575,718585.9683994207
37,2010-02-12,529852.7,1,46.11,2.548,209.9970208,8.554,2010,2,6,1034119.21,549505.55,1967220.53,617993.4,290378.4233775994
32,2010-02-12,1123566.12,1,28.09,2.572,189.4642725,9.014,2010,2,6,529852.7,1034119.21,358496.14,809260.895,313523.4254810802
21,2010-02-12,809321.44,1,37.77,2.548,210.8979935,8.324,2010,2,6,1123566.12,529852.7,549505.55,874214.8675,264916.27936115727
16,2010-02-12,472044.28,1,20.87,2.572,189.4642725,7.039,2010,2,6,809321.44,1123566.12,1034119.21,733696.135,298737.13706076576
42,2010-02-12,575709.96,1,49.96,2.828,126.4962581,9.765,2010,2,6,472044.28,809321.44,529852.7,745160.45,289029.0611701199
36,2010-02-12,469563.7,1,46.11,2.539,209.9970208,8.554,2010,2,6,575709.96,472044.28,1123566.12,581659.845,159631.15901309546
11,2010-02-12,1574684.08,1,48.01,2.548,214.5747916,7.368,2010,2,6,469563.7,575709.96,809321.44,773000.505,536739.743751116
41,2010-02-12,1075656.34,1,23.04,2.572,189.4642725,7.541,2010,2,6,1574684.08,469563.7,472044.28,923903.52,508005.14528725535
14,2010-02-12,1704218.84,1,27.73,2.773,181.982317,8.992,2010,2,6,1075656.34,1574684.08,575709.96,1206030.7400000002,560796.4138189219
25,2010-02-12,583364.02,1,19.64,2.773,204.3857472,8.187,2010,2,6,1704218.84,1075656.34,469563.7,1234480.82,511719.4440438567
23,2010-02-12,1380892.08,1,18.75,2.771,131.5866129,5.892,2010,2,6,583364.02,1704218.84,1574684.08,1186032.82,476752.7424713365
22,2010-02-12,1022571.25,1,28.14,2.771,135.4113076,8.283,2010,2,6,1380892.08,583364.02,1075656.34,1172761.5475,481564.0293863386
28,2010-02-12,1558968.49,1,47.87,2.946,126.4962581,13.975,2010,2,6,1022571.25,1380892.08,1704218.84,1136448.96,430947.12585049466
6,2010-02-12,1606283.86,1,40.57,2.548,212.7700425,7.259,2010,2,6,1558968.49,1022571.25,583364.02,1392178.92,264825.0419133394
3,2010-02-12,420728.96,1,47.93,2.548,214.5747916,7.368,2010,2,6,1606283.86,1558968.49,1380892.08,1152138.1400000001,554829.1737847452
10,2010-02-12,2176028.52,1,49.96,2.828,126.4962581,9.765,2010,2,6,420728.96,1606283.86,1022571.25,1440502.4575,735403.3471710831
30,2010-02-12,497374.57,1,37.77,2.548,210.8979935,8.324,2010,2,6,2176028.52,420728.96,1558968.49,1175103.9775,859489.1598443767
24,2010-02-12,1414107.1,1,25.94,2.94,131.5866129,8.326,2010,2,6,497374.57,2176028.52,1606283.86,1127059.7875,832293.6726082105
44,2010-02-12,286857.13,1,33.16,2.671,126.4962581,8.119,2010,2,6,1414107.1,497374.57,420728.96,1093591.83,871912.6721308981
35,2010-02-12,1168815.31,1,29.81,2.773,135.4113076,9.262,2010,2,6,286857.13,1414107.1,2176028.52,841788.5275000001,535743.9982407199
17,2010-02-12,841951.91,1,18.36,2.671,126.4962581,6.548,2010,2,6,1168815.31,286857.13,497374.57,927932.8625000002,487428.8193215217
18,2010-02-12,1187880.7,1,26.41,2.771,131.5866129,9.202,2010,2,6,841951.91,1168815.31,1414107.1,871376.2625000001,420782.38822202693
40,2010-02-12,955338.29,1,20.84,2.771,131.5866129,5.892,2010,2,6,1187880.7,841951.91,286857.13,1038496.5525,168170.24627652325
29,2010-02-12,529672.95,1,28.14,2.771,131.5866129,10.064,2010,2,6,955338.29,1187880.7,1168815.31,878710.9624999999,273639.93130648986
31,2010-02-12,1543947.23,1,37.77,2.548,210.8979935,8.324,2010,2,6,529672.95,955338.29,841951.91,1054209.7925,425294.07173053775
15,2010-02-12,682447.1,1,22.0,2.94,131.5866129,8.35,2010,2,6,1543947.23,529672.95,1187880.7,927851.3925,446877.6675885529
43,2010-02-12,682918.99,1,47.99,2.548,203.2010968,9.521,2010,2,6,682447.1,1543947.23,955338.29,859746.5675,461801.6287235894
5,2010-02-12,311825.7,1,39.81,2.548,211.8004698,6.566,2010,2,6,682918.99,682447.1,529672.95,805284.755,522553.5254448599
39,2010-02-12,1266229.07,1,44.58,2.548,209.9970208,8.554,2010,2,6,311825.7,682918.99,1543947.23,735855.2150000001,394441.4305165398
26,2010-02-12,1015684.09,1,18.14,2.771,131.5866129,8.488,2010,2,6,1266229.07,311825.7,682447.1,819164.4625,414102.3126328605
34,2010-02-12,994610.99,1,36.13,2.573,126.4962581,9.521,2010,2,6,1015684.09,1266229.07,682918.99,897087.4625,409215.8580760321
33,2010-02-12,294882.83,1,55.47,2.828,126.4962581,10.115,2010,2,6,994610.99,1015684.09,311825.7,892851.745,417300.92221784993
7,2010-02-12,524104.92,1,25.9,2.572,189.4642725,9.014,2010,2,6,294882.83,994610.99,1266229.07,707320.7075,356509.3311877096
13,2010-02-12,2030933.46,1,33.16,2.671,126.4962581,8.316,2010,2,6,524104.92,294882.83,1015684.09,961133.0499999999,770384.4563515368
8,2010-02-12,994801.4,1,33.34,2.548,214.6214189,6.299,2010,2,6,2030933.46,524104.92,994610.99,961180.6525,770387.2203909853
12,2010-02-12,1117863.33,1,47.87,2.946,126.4962581,13.975,2010,2,6,994801.4,2030933.46,294882.83,1166925.7774999999,630280.8515099995
27,2010-02-12,1745362.72,1,29.81,2.94,135.4113076,8.237,2010,2,6,1117863.33,994801.4,524104.92,1472240.2275,496744.3485459469
20,2010-02-12,2109107.9,1,22.12,2.773,204.3857472,8.187,2010,2,6,1745362.72,1117863.33,2030933.46,1491783.8375,526687.5534583894
45,2010-02-12,656988.64,1,27.73,2.773,181.982317,8.992,2010,2,6,2109107.9,1745362.72,994801.4,1407330.6474999997,646416.1328135484
2,2010-02-12,2137809.5,1,38.49,2.548,210.8979935,8.324,2010,2,6,656988.64,2109107.9,1117863.33,1662317.19,693612.987409531
4,2010-02-12,2188307.39,1,28.84,2.573,126.4962581,8.623,2010,2,6,2137809.5,656988.64,1745362.72,1773053.3575,744763.063929782
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,6,2188307.39,2137809.5,2109107.9,1656265.7425000002,710331.4156464712
38,2010-02-12,342214.9,1,47.87,2.946,126.4962581,13.975,2010,2,6,1641957.44,2188307.39,656988.64,1577572.3075,859673.66335696
19,2010-02-12,1536549.95,1,23.22,2.94,131.5866129,8.35,2010,2,6,342214.9,1641957.44,2137809.5,1427257.42,777722.161774746
9,2010-02-12,552677.48,1,37.08,2.548,214.8056534,6.415,2010,2,6,1536549.95,342214.9,2188307.39,1018349.9425,666189.9120467335
32,2010-02-19,1082559.06,0,29.16,2.55,189.5340998,9.014,2010,2,7,552677.48,1536549.95,1641957.44,878500.3475,538030.9345764932
35,2010-02-19,1270658.64,0,32.44,2.745,135.4657781,9.262,2010,2,7,1082559.06,552677.48,342214.9,1110611.2825,415979.15022819245
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,7,1270658.64,1082559.06,1536549.95,1129465.8375,442579.16936548473
39,2010-02-19,1230591.97,0,43.96,2.514,210.0451024,8.554,2010,2,7,1611968.17,1270658.64,552677.48,1298944.46,223814.38355446595
23,2010-02-19,1319588.04,0,26.7,2.747,131.637,5.892,2010,2,7,1230591.97,1611968.17,1082559.06,1358201.705,173047.6491024876
3,2010-02-19,421642.19,0,47.07,2.514,214.6198868,7.368,2010,2,7,1319588.04,1230591.97,1270658.64,1145947.5925,509610.691408806
9,2010-02-19,511327.9,0,43.06,2.514,214.8506185,6.415,2010,2,7,421642.19,1319588.04,1611968.17,870787.525,469689.2216716026
8,2010-02-19,963960.37,0,39.1,2.514,214.6664878,6.299,2010,2,7,511327.9,421642.19,1230591.97,804129.625,417641.28656756127
30,2010-02-19,463513.26,0,39.75,2.514,210.9451605,8.324,2010,2,7,963960.37,511327.9,1319588.04,590110.9299999999,251911.92641537293
33,2010-02-19,296850.83,0,62.16,2.915,126.5262857,10.115,2010,2,7,463513.26,963960.37,421642.19,558913.09,285251.5877975516
2,2010-02-19,2124451.54,0,39.69,2.514,210.9451605,8.324,2010,2,7,296850.83,463513.26,511327.9,962194.0,825067.6181708637
15,2010-02-19,660838.75,0,27.54,2.909,131.637,8.35,2010,2,7,2124451.54,296850.83,963960.37,886413.595,838659.8259871034
5,2010-02-19,303447.57,0,41.14,2.514,211.8471283,6.566,2010,2,7,660838.75,2124451.54,463513.26,846397.1725,868840.2898608678
22,2010-02-19,988467.61,0,31.96,2.747,135.4657781,8.283,2010,2,7,303447.57,660838.75,296850.83,1019301.3674999999,788088.3478220091
26,2010-02-19,999348.55,0,22.62,2.747,131.637,8.488,2010,2,7,988467.61,303447.57,2124451.54,738025.62,329558.6738559849
34,2010-02-19,983963.07,0,38.36,2.54,126.5262857,9.521,2010,2,7,999348.55,988467.61,660838.75,818806.7,343633.449773343
6,2010-02-19,1567138.07,0,43.58,2.514,212.8161546,7.259,2010,2,7,983963.07,999348.55,303447.57,1134729.3250000002,288344.83401738654
13,2010-02-19,1970274.64,0,35.7,2.654,126.5262857,8.316,2010,2,7,1567138.07,983963.07,988467.61,1380181.0825,477907.052684897
40,2010-02-19,916289.2,0,27.84,2.747,131.637,5.892,2010,2,7,1970274.64,1567138.07,999348.55,1359416.245,501206.2117037655
20,2010-02-19,2161549.76,0,25.43,2.745,204.4321004,8.187,2010,2,7,916289.2,1970274.64,983963.07,1653812.9175,550574.9982529491
28,2010-02-19,1491300.42,0,54.83,2.915,126.5262857,13.975,2010,2,7,2161549.76,916289.2,1567138.07,1634853.505,555835.2368189885
19,2010-02-19,1515976.11,0,28.57,2.909,131.637,8.35,2010,2,7,1491300.42,2161549.76,1970274.64,1521278.8724999998,508883.1365897023
16,2010-02-19,469868.7,0,21.13,2.55,189.5340998,7.039,2010,2,7,1515976.11,1491300.42,916289.2,1409673.7474999998,699169.548206032
